🥇;ميدالية المركز الأول
🆓;حر
🇫🇰;علم جزر فوكلاند
🇫🇴;علم جزر فارو
🇫🇯;العلم لفيجي
🇫🇮;العلم لفنلندا
🇫🇷;العلم لفرنسا
🇬🇫;علم غيانا الفرنسية
🇵🇫;علم لبولينيزيا الفرنسية
🇹🇫;علم للمناطق الجنوبية الفرنسية
🇬🇦;العلم لغابون
🇬🇲;علم لغامبيا
♊;الجوزاء
🇬🇪;علم لجورجيا
🇩🇪;علم لألمانيا
🇬🇭;العلم لغانا
🇬🇮;علم لجبل طارق
🇬🇷;العلم لليونان
🇬🇱;علم لغرينلاند
🇬🇩;علم غرينادا
🇬🇵;علم لجوادلوب
🇬🇺;العلم لغوام
🇬🇹;علم لغواتيمالا
🇬🇬;علم لجيرنزي
🇬🇳;العلم لغينيا
🇬🇼;العلم لغينيا بيساو
🇬🇾;علم غيانا
🇭🇹;علم هايتي
🇭🇲;علم جزر هيرد وماكدونالد
🇭🇳;العلم لهندوراس
🇭🇰;العلم لهونغ كونغ
🇭🇺;علم المجر
🆔;هوية شخصية
🇮🇸;العلم لأيسلندا
🇮🇳;العلم للهند
🇮🇩;العلم لإندونيسيا
🇮🇷;العلم لإيران
🇮🇶;العلم للعراق
🇮🇪;العلم لأيرلندا
🇮🇲;العلم لجزيرة مان
🇮🇱;العلم لإسرائيل
🇮🇹;علم ايطاليا
🇯🇲;العلم لجامايكا
🇯🇵;العلم لليابان
🉑;قبول
🈸;u7533
🉐;ميزة أيديوجراف
🏯;القلعة اليابانية
㊗;تهانينا
🈹;u5272
🎎;دمى
🈚;u7121
🈁;كوكو
🈷;u6708
🈵;u6e80
🈶;u6709
🈺;u55b6
🈴;u5408
🏣;مكتب البريد
🈲;u7981
🈯;u6307
㊙;سر
🈂;سا
🔰;مبتدئ
🈳;u7a7a
🇯🇪;علم جيرسي
🇯🇴;العلم للأردن
🇰🇿;العلم لكازاخستان
🇰🇪;العلم لكينيا
🇰🇮;علم كيريباتي
🇽🇰;العلم لكوسوفو
🇰🇼;العلم للكويت
🇰🇬;العلم لقيرغيزستان
🇱🇦;العلم لاوس
🇱🇻;علم لاتفيا
🇱🇧;العلم للبنان
♌;الأسد
🇱🇸;علم ليسوتو
🇱🇷;علم ليبيريا
♎;برج الميزان
🇱🇾;علم ليبيا
🇱🇮;علم ليختنشتاين
🇱🇹;علم ليتوانيا
🇱🇺;العلم لكسمبرغ
🇲🇴;علم لماكاو
🇲🇰;العلم لمقدونيا
🇲🇬;علم لمدغشقر
🇲🇼;علم ملاوي
🇲🇾;العلم لماليزيا
🇲🇻;العلم لجزر المالديف
🇲🇱;علم مالي
🇲🇹;علم مالطا
🇲🇭;علم جزر مارشال
🇲🇶;علم مارتينيك
🇲🇷;علم لموريتانيا
🇲🇺;علم لموريشيوس
🇾🇹;علم مايوت
🇲🇽;علم للمكسيك
🇫🇲;العلم لميكرونيزيا
🇲🇩;العلم لمولدافيا
🇲🇨;علم موناكو
🇲🇳;علم منغوليا
🇲🇪;علم للجبل الأسود
🇲🇸;العلم لمونتسيرات
🇲🇦;العلم للمغرب
🇲🇿;علم موزمبيق
🤶;السيدة كلوز
🤶🏿;السيدة كلوز لون البشرة الداكنة
🤶🏻;السيدة كلوز لون البشرة الفاتح
🤶🏾;السيدة كلوز متوسطة لون البشرة الداكنة
🤶🏼;السيدة كلوز متوسطة البشرة خفيفة
🤶🏽;السيدة كلوز متوسطة لهجة الجلد
🇲🇲;العلم لميانمار
🆕;الجديد
🆖;نانوغرام
🇳🇦;علم ناميبيا
🇳🇷;علم ناورو
🇳🇵;العلم لنيبال
🇳🇱;العلم لهولندا
🇳🇨;علم لكاليدونيا الجديدة
🇳🇿;العلم لنيوزيلندا
🇳🇮;العلم لنيكاراغوا
🇳🇪;العلم للنيجر
🇳🇬;العلم لنيجيريا
🇳🇺;علم نيوي
🇳🇫;علم لجزيرة نورفولك
🇰🇵;العلم لكوريا الشمالية
🇲🇵;علم جزر ماريانا الشمالية
🇳🇴;علم النرويج
🆗;حسنا
👌;حسناً
👌🏿;طيب اليد لهجة الجلد الداكن
👌🏻;طيب ناحية لون البشرة الفاتحة
👌🏾;طيب اليد المتوسطة لهجة الجلد الداكن
👌🏼;طيب اليد المتوسطة لهجة البشرة الخفيفة
👌🏽;طيب اليد المتوسطة لهجة الجلد
🔛;على
🅾;O2
🇴🇲;علم عمان
⛎;الحواء
🅿;موقف سيارات
🇵🇰;العلم لباكستان
🇵🇼;العلم لبالاو
🇵🇸;علم للأراضي الفلسطينية
🇵🇦;العلم لبانما
🇵🇬;علم لبابوا غينيا الجديدة
🇵🇾;العلم لباراغواي
🇵🇪;العلم لبيرو
🇵🇭;العلم للفلبين
♓;برج الحوت
🇵🇳;علم جزر بيتكيرن
🇵🇱;العلم لبولندا
🇵🇹;علم البرتغال
🇵🇷;علم لبورتوريكو
🇶🇦;العلم لقطر
🇷🇴;العلم لرومانيا
🇷🇺;العلم لروسيا
🇷🇼;العلم لرواندا
🇷🇪;علم لريونيون
🔜;هكذا
🆘;نجدة
♐;القوس
🇼🇸;العلم لساموا
🇸🇲;علم سان مارينو
🎅;سانتا
🎅🏿;سانتا كلوز لون البشرة الداكنة
🎅🏻;سانتا كلوز ضوء البشرة لهجة
🎅🏾;سانتا كلوز لهجة الجلد المتوسطة الداكنة
🎅🏼;سانتا كلوز لهجة البشرة متوسطة الضوء
🎅🏽;سانتا كلوز متوسط ​​لون البشرة
🇸🇦;علم المملكة العربية السعودية
♏;برج العقرب
🏴󠁧󠁢󠁳󠁣󠁴󠁿;أسكتلندا
🇸🇳;العلم للسنغال
🇷🇸;العلم لصربيا
🇸🇨;علم لسيشيل
🇸🇱;علم لسيراليون
🇸🇬;العلم لسنغافورة
🇸🇽;علم لسانت مارتن
🇸🇰;العلم لسلوفاكيا
🇸🇮;العلم لسلوفينيا
🇸🇧;علم جزر سليمان
🇸🇴;علم الصومال
🇿🇦;علم لجنوب افريقيا
🇬🇸;العلم لجنوب جورجيا وجزر ساندويتش الجنوبية
🇰🇷;العلم لكوريا الجنوبية
🇸🇸;علم لجنوب السودان
🇪🇸;علم اسبانيا
🇱🇰;علم لسريلانكا
🇧🇱;علم لسانت بارتيليمي
🇸🇭;علم لسانت هيلينا
🇰🇳;علم لسانت كيتس ونيفيس
🇱🇨;علم لسانت لوسيا
🇲🇫;علم لسانت مارتن
🇵🇲;العلم لسانت بيير وميكلون
🇻🇨;العلم لسانت فنسنت وجزر غرينادين
🗽;تمثال الحرية
🇸🇩;العلم للسودان
🇸🇷;العلم لسورينام
🇸🇯;علم سفالبارد وجان مايان
🇸🇿;علم لسوازيلاند
🇸🇪;العلم للسويد
🇨🇭;علم لسويسرا
🇸🇾;العلم لسوريا
🇸🇹;علم لساو تومي وبرينسيبي
🦖;T-ريكس
🔝;أعلى
🇹🇼;العلم لتايوان
🇹🇯;علم لطاجيكستان
🇹🇿;علم لتنزانيا
♉;برج الثور
🇹🇭;علم لتايلاند
🇹🇱;العلم لتيمور الشرقية
🇹🇬;علم لتوغو
🇹🇰;علم لتوكيلاو
🗼;برج طوكيو
🇹🇴;العلم لتونغا
🇹🇹;علم لترينيداد وتوباغو
🇹🇦;علم تريستان دا كونها
🇹🇳;العلم لتونس
🇹🇷;العلم لتركيا
🇹🇲;علم تركمانستان
🇹🇨;علم جزر تركس وكايكوس
🇹🇻;علم لتوفالو
🇺🇲;علمًا لجزر الولايات المتحدة البعيدة
🇻🇮;علم جزر فرجن الأمريكية
🆙;فوق
🇺🇬;العلم لأوغندا
🇺🇦;العلم لأوكرانيا
🇦🇪;العلم لدولة الإمارات العربية المتحدة
🇬🇧;علم المملكة المتحدة
🇺🇳;الأمم المتحدة
🇺🇸;علم الولايات المتحدة
🇺🇾;العلم لأوروغواي
🇺🇿;العلم لأوزبكستان
🆚;ضد
🇻🇺;علم لفانواتو
🇻🇦;علم الفاتيكان
🇻🇪;علم لفنزويلا
🇻🇳;العلم لفيتنام
♍;برج العذراء
🏴󠁧󠁢󠁷󠁬󠁳󠁿;ويلز
🇼🇫;العلم للواليس وفوتونا
🇪🇭;علم الصحراء الغربية
🇾🇪;العلم لليمن
🇿🇲;علم زامبيا
🇿🇼;العلم لزيمبابوي
🎟;تذاكر الدخول
🧑;بالغ
🧑🏿;لون البشرة الداكنة
🧑🏻;الكبار لون البشرة الفاتحة
🧑🏾;لون البشرة الداكنة متوسطة
🧑🏼;لهجة البشرة المتوسطة الخفيفة للبالغين
🧑🏽;الكبار لون البشرة المتوسطة
🚡;الترام الجوي
✈;مطار
🛬;طائرة قادمة
🛫;رحيل الطائرة
⏰;منبه
⚗;الإمبيق أداة كيميائية للتقطير
👽;كائن فضائي
👾;غازي الفضاء
🚑;سياره اسعاف
🏈;كرة القدم
🏺;الأمفورة قارورة ضيقة
⚓;مذيع الأخبار
💢;غضب
😠;غاضب
👿;عفريت
😧;مهموم
🐜;نملة
📶;قوة الاشارة
😰;عرق بارد
🚛;شاحنة 
🎨;فن
😲;مندهش
⚛;رمز الذرة
🚗;سيارة حمراء
🥑;أفوكادو
👶;طفل
👼;ملاك
👼🏿;ملاك طفل مظلمة لون البشرة
👼🏻;الطفل ملاك ضوء لون البشرة
👼🏾;ملاك طفل متوسطة الجلد الداكن لهجة
👼🏼;ملاك طفل متوسطة ضوء البشرة خفيفة
👼🏽;طفل ملاك متوسط ​​لون البشرة
🍼;زجاجة الطفل
🐤;طفل كتكوت
👶🏿;الطفل لهجة الجلد الداكن
👶🏻;الطفل ضوء الجلد لهجة
👶🏾;الطفل متوسطة لون البشرة الداكنة
👶🏼;الطفل لهجة متوسطة الجلد الخفيفة
👶🏽;نغمة متوسطة لون البشرة
🚼;رمز الطفل
👇;خسارة نقطة
👇🏿;مؤشر رجعي يشير إلى أسفل لون البشرة الداكن
👇🏻;مؤشر رجعي يشير إلى أسفل لون البشرة الفاتح
👇🏾;مؤشر رجعي يشير إلى أسفل لهجة البشرة متوسطة الظلام
👇🏼;مؤشر رجعي يشير إلى أسفل لهجة البشرة متوسطة الضوء
👇🏽;مؤشر رجعي يشير إلى أسفل لون البشرة المتوسطة
👈;نقطة اليسار
👈🏿;المؤشر الخلفي يشير إلى لون البشرة الداكن
👈🏻;مؤشر رجوع يشير إلى لون البشرة الفاتح
👈🏾;مؤشرا عكسيا لافتا تركت لهجة الجلد متوسطة الظلام
👈🏼;مؤشرا عكسيا لافتا تركت لهجة البشرة متوسطة الضوء
👈🏽;مؤشر رجوع يشير إلى ترك لون البشرة متوسطة
👉;نقطة الحق
👉🏿;مؤشر رجعي يشير إلى لون البشرة الداكن
👉🏻;مؤشر رجعي يشير إلى لون البشرة الفاتح
👉🏾;مؤشر رجعي يشير إلى نغمة البشرة المتوسطة الداكنة
👉🏼;مؤشرا عكسيا يشير إلى لون البشرة خفيفة والمتوسطة
👉🏽;مؤشر رجعي يشير إلى متوسط ​​لون البشرة
👆;أشر 2
👆🏿;مؤشر رجعي يشير إلى لون البشرة الداكن
👆🏻;مؤشر رجعي يشير إلى لون البشرة الفاتح
👆🏾;مؤشر رجعي يشير إلى لون البشرة متوسط ​​الداكن
👆🏼;مؤشر رجعي يشير إلى لون البشرة متوسط ​​الضوء
👆🏽;مؤشر رجعي يشير إلى لون البشرة المتوسطة
🥓;لحم خنزير مقدد
🏸;مضرب تنس الريشة والريشة
🛄;استلام الأمتعة
🥖;خبز الرغيف الفرنسي
⚖;النطاقات
🎈;بالون
🗳;صندوق الاقتراع مع الاقتراع
☑;صندوق الاقتراع مع الشيك
🍌;موز
🏦;بنك
📊;شريط الرسم البياني
💈;حلاق
⚾;البيسبول
🏀;كرة سلة
🦇;مضرب
🛁;حوض الاستحمام
🔋;البطارية
🏖;شاطئ مع مظلة
😁;ابتسامة
🐻;يتحمل
🧔;الشخص الملتحي
🧔🏿;شخص ملتح لون البشرة الداكنة
🧔🏻;الشخص الملتحي ضوء البشرة الفاتحة
🧔🏾;الشخص الملتحي متوسط ​​لون البشرة الداكنة
🧔🏼;الشخص الملتحي متوسطة البشرة خفيفة
🧔🏽;الشخص الملتحي متوسط ​​لون البشرة
💓;نبض القلب
🛏;السرير
🍺;بيرة
🔔;جرس
🔕;لا جرس
🛎;بيل بيل
🍱;بينتو
🚲;دراجة هوائية
👙;بيكيني
🧢;قبعة فاتورة
☣;علامة biohazard
🐦;طائر
🎂;عيد الميلاد
⚫;دائرة سوداء
🏴;يلوحون بالعلم الأسود
🖤;قلب أسود
⬛;مربع أسود كبير
◾;أسود صغير مربع صغير
◼;مربع أسود متوسط
✒;أسود بنك الاستثمار القومي
▪;مربع صغير أسود
🔲;زر مربع أسود
👱‍♂️;رجل أشقر الشعر
👱🏿‍♂️;رجل الشعر الأشقر لون البشرة الداكنة
👱🏻‍♂️;شعر أشقر لون البشرة الفاتحة
👱🏾‍♂️;الرجل ذو الشعر الأشقر متوسط ​​البشرة الداكنة
👱🏼‍♂️;رجل ذو شعر أشقر متوسط ​​البشرة فاتح اللون
👱🏽‍♂️;الرجل ذو الشعر الأشقر متوسط ​​لون البشرة
👱;شخص ذو شعر أشقر
👱🏿;الشخص الأشقر بشرة داكنة اللون
👱🏻;الشخص الأشقر الشعر لون فاتح البشرة
👱🏾;الشخص ذو الشعر الأشقر متوسط ​​البشرة الداكنة
👱🏼;الشخص ذو الشعر الأشقر ذو لون البشرة المتوسط ​​الفاتح
👱🏽;الشخص ذو الشعر الأشقر متوسط ​​لون البشرة
👱‍♀️;امرأة شقراء الشعر
👱🏿‍♀️;امرأة شقراء الشعر بشرة داكنة اللون
👱🏻‍♀️;امرأة شقراء الشعر الأشقر فاتح اللون
👱🏾‍♀️;امرأة ذات الشعر الأشقر متوسطة لون البشرة الداكنة
👱🏼‍♀️;امرأة ذات الشعر الأشقر متوسطة البشرة خفيفة
👱🏽‍♀️;امرأة ذات الشعر الأشقر متوسطة لون البشرة
🌼;زهر
🐡;السمكة المنتفخة
📘;كتاب أزرق
🔵;دائرة زرقاء كبيرة
💙;قلب ازرق
🐗;خنزير ذكر
💣;قنبلة
🔖;المرجعية
📑;علامات تبويب المرجعية
📚;الكتب
🍾;زجاجة مع الفلفل ظهرت
💐;باقة أزهار
🏹;القوس والسهم
🥣;وعاء مع ملعقة
🎳;البولينج
🥊;قفازات الملاكمة
👦;صبي
👦🏿;صبي لون البشرة الداكنة
👦🏻;لون البشرة الفاتحة
👦🏾;الصبي متوسطة الجلد الداكن لهجة
👦🏼;الصبي متوسطة الجلد خفيفة لهجة
👦🏽;صبغة متوسطة لون البشرة
🧠;دماغ
🍞;خبز
🤱;الرضاعة الطبيعية
🤱🏿;نغمة البشرة الداكنة المرضعات
🤱🏻;نغمة البشرة الخفيفة للرضاعة الطبيعية
🤱🏾;نغمة البشرة متوسطة الداكنة عند الرضاعة الطبيعية
🤱🏼;نغمة متوسطة للرضاعة الطبيعية الخفيفة
🤱🏽;نغمة متوسطة للجلد
👰;العروس بالحجاب
👰🏿;العروس مع الحجاب لون البشرة الداكنة
👰🏻;العروس مع الحجاب لون البشرة الفاتحة
👰🏾;العروس مع الحجاب متوسطة لون البشرة الداكنة
👰🏼;العروس مع الحجاب متوسطة لون البشرة الخفيفة
👰🏽;العروس مع الحجاب متوسط ​​لون الجلد
🌉;جسر في الليل
💼;حقيبة
🔆;سطوع عالي
🥦;بروكلي
💔;قلب مجروح
🐛;بق
🏗;تشييد المباني
🚅;جبهة الرصاص
🌯;بوريتو
🚌;حافلة
🚏;موقف باص
👤;تمثال نصفي في صورة ظلية
👥;التمثال في صورة ظلية
🦋;فراشة
🌵;صبار
📆;التقويم المسيل للدموع
🤙;اتصل بي
🤙🏿;اتصل بي ناحية لون البشرة الداكنة
🤙🏻;اتصل بي ناحية لون البشرة الفاتح
🤙🏾;اتصل بي اليد لهجة البشرة متوسطة الظلام
🤙🏼;اتصل بي يد لون البشرة متوسطة الضوء
🤙🏽;اتصل بي يد متوسطة لهجة الجلد
🐫;جمل ذو سنام
📷;الة تصوير
📸;الكاميرا مع فلاش
🏕;تخييم
🕯;شمعة
🍬;حلويات
🥫;طعام معلب
🛶;قارب
🗃;صندوق ملف البطاقة
📇;مؤشر بطاقة
🗂;فهرسة بطاقة الفهرسة
🎠;حصان دائري
🎏;الأعلام
🥕;جزرة
🏰;قلعة أوروبية
🐱;وجه القطة
😹;فرح قطة
😼;صمة القط
⛓;السلاسل
📉;الرسم البياني مع الاتجاه النزولي
📈;الرسم البياني مع الاتجاه التصاعدي
💹;خريطة
🧀;الجبن إسفين
🏁;العلم متقلب
🍒;كرز
🌸;زهرة الكرز
🌰;كستناء
🐔;دجاج
🧒;طفل
🧒🏿;الطفل لهجة الجلد الداكن
🧒🏻;نغمة خفيفة للطفولة
🧒🏾;الطفل لهجة متوسطة الجلد الداكن
🧒🏼;الطفل لهجة البشرة متوسطة الضوء
🧒🏽;الطفل متوسط ​​لون البشرة
🚸;الأطفال يعبرون
🐿;السنجاب
🍫;قطعة شوكولاتة
🥢;عيدان
⛪;كنيسة
🚬;تدخين
🎦;سينما
Ⓜ;م
🎪;خيمة السيرك
🏙;سيتي سكيب
🌆;غروب الشمس في المدينة
🗜;ضغط
🎬;مصفق
👏;صفق
👏🏿;التصفيق أيدي البشرة الداكنة
👏🏻;التصفيق أيدي البشرة الفاتحة
👏🏾;يصفق يديّ [بت-درك] جلد نغمة
👏🏼;يصفق يديّ [هيغ-لنيت] جلد لهجة
👏🏽;يصفق اليدين متوسطة الجلد
🏛;مبنى كلاسيكي
🍻;بيرة
🥂;نظارات خشخشة
📋;الحافظة
🔃;الأسهم في اتجاه عقارب الساعة
📕;كتاب مغلق
📪;صندوق البريد مغلق
📫;صندوق بريد
🌂;مظلة مغلقة
☁;غيم
🌩;السحابة مع البرق
⛈;سحابة الرعد والمطر
🌧;سحابة مع المطر
🌨;سحابة مع الثلج
🤡;وجه المهرج
♣;الأندية
👝;كيس
🧥;معطف
🍸;كوكتيل
🥥;جوزة الهند
⚰;نعش
💥;فقاعة
☄;المذنب
💽;النفع
🖱;ثلاثة زر الماوس
🎊;كرة النثار
😖;مرتبك
😕;مشوش
🚧;اعمال بناء
👷;عامل بناء
👷🏿;عامل البناء لون البشرة الداكنة
👷🏻;عامل البناء ضوء لون البشرة
👷🏾;عامل البناء المتوسطة لهجة البشرة الداكنة
👷🏼;عامل البناء المتوسطة لهجة البشرة الخفيفة
👷🏽;عامل البناء المتوسطة لهجة الجلد
🎛;مقابض التحكم
🏪;محل بقالة
🍚;أرز
🍪;بسكويت
🍳;بيضة
©;حقوق النشر
🛋;الأريكة والمصباح
🔄;الأسهم عكس عقارب الساعة
💑;زوجين مع القلب
👨‍❤️‍👨;زوجين مع رجل قلب الرجل
👩‍❤️‍👨;زوجان مع قلب امرأة الرجل
👩‍❤️‍👩;زوجان مع امرأة امرأة القلب
🐮;وجه البقر
🤠;وجه قبعة رعاة البقر
🦀;سلطعون
🖍;أقل من قلم التلوين الأيسر
💳;بطاقة الائتمان
🌙;الهلال
🦗;كريكيت
🏏;مضرب الكريكيت والكرة
🐊;تمساح
🥐;كرواسون
❌;س
❎;تربيع سلبي عبر علامة
🤞;تمنيت
🤞🏿;عبرت أصابع لون البشرة الداكنة
🤞🏻;عبرت الأصابع ضوء لون البشرة
🤞🏾;عبرت الأصابع لهجة الجلد المتوسطة الداكنة
🤞🏼;أصابع عبرت متوسطة لهجة البشرة خفيفة
🤞🏽;عبرت الأصابع متوسطة لون الجلد
🎌;أعلام متقاطعة
⚔;السيوف عبرت
👑;تاج
😿;البكاء وجه القط
😢;يبكي
🔮;كره كريستال
🥒;خيار
🥤;كوب مع القش
🥌;حجر الكيرلنج
➰;حلقة مجعد
💱;تحويل العملات
🍛;كاري
🍮;كاسترد
🛃;الجمارك
🥩;قطع من اللحم
🌀;الإعصار
🗡;سكين خنجر
🍡;دانغو
💨;اندفاع
🌳;شجرة متهاوية
🦌;الغزال
🚚;شاحنة نقل
🏬;قسم التخزين
🏚;بناء منزل مهجور
🏜;صحراء
🏝;جزيرة الصحراء
🖥;كمبيوتر سطح المكتب
🕵;تجسس أو جاسوس
🕵🏿;المباحث لون البشرة الداكنة
🕵🏻;المخبر ضوء البشرة لهجة
🕵🏾;المباحث متوسطة لون البشرة الداكنة
🕵🏼;المخبر ضوء البشرة متوسطة خفيفة
🕵🏽;المباحث متوسطة الجلد لهجة
♦;الماس
💠;شكل الماس مع نقطة في الداخل
🔅;سطوع منخفض
🎯;وثبة
😞;خائب الامل
💫;مصاب بدوار
😵;وجه بالدوار
🐶;وجه الكلب
💵;دولار
🐬;زعنفة
🚪;باب
🔯;ستة نجوم مدببة
➿;عقدة
‼;bangbang
🍩;تبرع
🕊;حمامة السلام
↙;السهم السفلي الأيسر
↘;السهم السفلي الأيمن
⬇;السهم للاسفل
😓;عرق
🔽;السهم أسفل صغير
🐉;تنين
🐲;وجه التنين
👗;فستان
🤤;وجه اللعاب
💧;قطيرة
🥁;طبل
🦆;بطة
🥟;زلابية
📀;دي في دي
📧;البريد الإلكتروني
🦅;نسر
👂;إذن
👂🏿;أذن لون البشرة الداكنة
👂🏻;لهجة البشرة خفيفة الأذن
👂🏾;الأذن لهجة الجلد المتوسطة الداكنة
👂🏼;الأذن لهجة البشرة متوسطة الضوء
👂🏽;الأذن متوسطة لون البشرة
🌽;حبوب ذرة
🍆;الباذنجان
✴;ثمانية النجمة السوداء المدببة
✳;ثمانية النجمة
🕣;clock830
🕗;clock8
⏏;رمز الإخراج
🔌;المكونات الكهربائية
🐘;فيل
🕦;clock1130
🕚;clock11
🧝;قزم
🧝🏿;قزم لون البشرة الداكن
🧝🏻;قزم لون البشرة الفاتح
🧝🏾;قزم متوسطة لون البشرة الداكنة
🧝🏼;قزم متوسطة لون البشرة الفاتحة
🧝🏽;قزم متوسطة لون البشرة
✉;البريد الإلكتروني
📩;مغلف مع السهم
💶;اليورو
🌲;شجرة دائمة الخضرة
🐑;خروف
❗;علامة تعجب ثقيلة
⁉;interrobang
🤯;رئيس تنفجر
😑;التعابير
👁;عين
👁️‍🗨️;العين في فقاعة الكلام
👀;عيون
😘;تقبيل القلب
😋;يم
😱;صرخة
🤮;قيء الوجه
🤭;وجهه مع الفم
🤕;وجه مع ضمادة الرأس
😷;قناع
🧐;وجه مع مونوكل
😮;فتح الفم
🤨;وجه مع الحاجب المرفوع
🙄;وجه بعيون متدحرجة
😤;انتصار
🤬;وجه مع الرموز على الفم
😂;فرح
🤒;وجه مع ميزان الحرارة
😛;تمسك باللسان
😶;لا فم
🏭;مصنع
🧚;جنية
🧚🏿;جنية لون البشرة الداكنة
🧚🏻;جنية خفيفة لون البشرة
🧚🏾;جنية متوسطة البشرة الداكنة
🧚🏼;جنية متوسطة البشرة خفيفة الوزن
🧚🏽;جنية متوسطة لون البشرة
🍂;ورقة سقطت
👪;عائلة
👨‍👦;عائلة فتى
👨‍👦‍👦;عائلة فتى
👨‍👧;عائلة رجل بنت
👨‍👧‍👦;عائلة رجل بنت فتى
👨‍👧‍👧;عائلة فتاة رجل
👨‍👨‍👦;عائلة رجل رجل فتى
👨‍👨‍👦‍👦;رجل عائلة رجل فتى
👨‍👨‍👧;عائلة رجل رجل فتاة
👨‍👨‍👧‍👦;رجل عائلة رجل بنت فتى
👨‍👨‍👧‍👧;رجل عائلة رجل بنت فتاة
👨‍👩‍👦;عائلة رجل امرأة الصبي
👨‍👩‍👦‍👦;عائلة رجل امرأة فتى
👨‍👩‍👧;عائلة رجل إمرأة بنت
👨‍👩‍👧‍👦;عائلة رجل إمرأة بنت فتى
👨‍👩‍👧‍👧;عائلة رجل إمرأة بنت بنت
👩‍👦;عائلة فتى
👩‍👦‍👦;عائلة فتى ولد
👩‍👧;عائلة المرأة الفتاة
👩‍👧‍👦;عائلة فتى فتاة
👩‍👧‍👧;عائلة فتاة فتاة
👩‍👩‍👦;عائلة امرأة امرأة الصبي
👩‍👩‍👦‍👦;عائلة امرأة امرأة فتى
👩‍👩‍👧;عائلة المرأة بنت المرأة
👩‍👩‍👧‍👦;عائلة امرأة نساء بنت فتى
👩‍👩‍👧‍👧;عائلة المرأة المرأة الفتاة
⏩;سريع إلى الأمام
⏬;السهم مزدوج أسفل
⏪;الترجيع
⏫;السهم مضاعفة
📠;الفاكس
😨;خوفا
♀;علامة الإناث
🎡;عجلة فيريس
⛴;العبارة
🏑;عصا الهوكي والكرة
🗄;حافظة الملفات
📁;مجلد ملف
🎞;إطارات الفيلم
📽;فيلم ضوئي
🔥;نار
🚒;محرك ناري
